initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,net_profit_pct,profit_factor,max_drawdown_pct
0.03,0.06,0.01,2.5,1000000.0,0,26,53.84615384615385,400.44621174618555,6.6784156849486385,-16.702799507100018
0.03,0.06,0.01,2.5,1000000.0,5,23,60.86956521739131,423.06592147379007,8.710629902541006,-11.47071900000001
0.03,0.06,0.01,2.5,1000000.0,10,21,61.904761904761905,428.0471250281268,9.708241333366956,-8.732699999999992
0.03,0.06,0.01,2.5,1000000.0,20,21,66.66666666666666,427.56231185780314,10.93605375627531,-5.910000000000004
0.03,0.06,0.01,2.5,1000000.0,30,20,60.0,401.2339630259111,10.132711083271797,-7.116796848403675
0.03,0.06,0.01,2.5,5000000.0,0,26,53.84615384615385,400.44621174618555,6.6784156849486385,-16.702799507100018
0.03,0.06,0.01,2.5,5000000.0,5,23,60.86956521739131,423.06592147379007,8.710629902541006,-11.47071900000001
0.03,0.06,0.01,2.5,5000000.0,10,21,61.904761904761905,428.0471250281268,9.708241333366956,-8.732699999999992
0.03,0.06,0.01,2.5,5000000.0,20,21,66.66666666666666,427.56231185780314,10.93605375627531,-5.910000000000004
0.03,0.06,0.01,2.5,5000000.0,30,20,60.0,401.2339630259111,10.132711083271797,-7.116796848403675
0.03,0.06,0.01,3.0,500000.0,0,24,50.0,395.86275966980065,7.259497378950062,-16.702799507100025
0.03,0.06,0.01,3.0,500000.0,5,21,57.14285714285714,418.27530156780693,9.487985249589004,-11.470719000000004
0.03,0.06,0.01,3.0,500000.0,10,19,57.89473684210527,423.21088362029576,10.583425265725394,-8.732699999999992
0.03,0.06,0.01,3.0,500000.0,20,19,63.1578947368421,422.7305107232322,11.939013649568299,-5.910000000000004
0.03,0.06,0.01,3.0,500000.0,30,18,55.55555555555556,396.6432961477077,10.519395087000547,-5.910000000000004
0.03,0.06,0.01,3.0,1000000.0,0,24,50.0,395.86275966980065,7.259497378950062,-16.702799507100025
0.03,0.06,0.01,3.0,1000000.0,5,21,57.14285714285714,418.27530156780693,9.487985249589004,-11.470719000000004
0.03,0.06,0.01,3.0,1000000.0,10,19,57.89473684210527,423.21088362029576,10.583425265725394,-8.732699999999992
0.03,0.06,0.01,3.0,1000000.0,20,19,63.1578947368421,422.7305107232322,11.939013649568299,-5.910000000000004
0.03,0.06,0.01,3.0,1000000.0,30,18,55.55555555555556,396.6432961477077,10.519395087000547,-5.910000000000004
0.03,0.06,0.01,3.0,5000000.0,0,24,50.0,395.86275966980065,7.259497378950062,-16.702799507100025
0.03,0.06,0.01,3.0,5000000.0,5,21,57.14285714285714,418.27530156780693,9.487985249589004,-11.470719000000004
0.03,0.06,0.01,3.0,5000000.0,10,19,57.89473684210527,423.21088362029576,10.583425265725394,-8.732699999999992
0.03,0.06,0.01,3.0,5000000.0,20,19,63.1578947368421,422.7305107232322,11.939013649568299,-5.910000000000004
0.03,0.06,0.01,3.0,5000000.0,30,18,55.55555555555556,396.6432961477077,10.519395087000547,-5.910000000000004
0.03,0.06,0.02,2.0,500000.0,0,27,55.55555555555556,498.21377654640423,6.793000016984048,-16.702799507100007
0.03,0.06,0.02,2.0,500000.0,5,24,62.5,525.2524905239147,8.885270945745615,-11.470719000000006
0.03,0.06,0.02,2.0,500000.0,10,22,63.63636363636363,525.0185237002485,9.875532166959589,-8.732699999999998
0.03,0.06,0.02,2.0,500000.0,20,22,68.18181818181817,530.6272992632234,11.191759918687797,-5.910000000000001
0.03,0.06,0.02,2.0,500000.0,30,21,66.66666666666666,493.2813507548079,10.890864514433616,-5.909999999999994
0.03,0.06,0.02,2.0,1000000.0,0,27,55.55555555555556,498.21377654640423,6.793000016984048,-16.702799507100007
0.03,0.06,0.02,2.0,1000000.0,5,24,62.5,525.2524905239147,8.885270945745615,-11.470719000000006
0.03,0.06,0.02,2.0,1000000.0,10,22,63.63636363636363,525.0185237002485,9.875532166959589,-8.732699999999998
0.03,0.06,0.02,2.0,1000000.0,20,22,68.18181818181817,530.6272992632234,11.191759918687797,-5.910000000000001
0.03,0.06,0.02,2.0,1000000.0,30,21,66.66666666666666,493.2813507548079,10.890864514433616,-5.909999999999994
0.03,0.06,0.02,2.0,5000000.0,0,27,55.55555555555556,498.21377654640423,6.793000016984048,-16.702799507100007
0.03,0.06,0.02,2.0,5000000.0,5,24,62.5,525.2524905239147,8.885270945745615,-11.470719000000006
0.03,0.06,0.02,2.0,5000000.0,10,22,63.63636363636363,525.0185237002485,9.875532166959589,-8.732699999999998
0.03,0.06,0.02,2.0,5000000.0,20,22,68.18181818181817,530.6272992632234,11.191759918687797,-5.910000000000001
0.03,0.06,0.02,2.0,5000000.0,30,21,66.66666666666666,493.2813507548079,10.890864514433616,-5.909999999999994
0.03,0.06,0.02,2.5,500000.0,0,26,53.84615384615385,410.4050962657891,6.733971240504195,-16.702799507100014
0.03,0.06,0.02,2.5,500000.0,5,23,60.86956521739131,433.47493843871314,8.78470397661508,-11.470718999999999
0.03,0.06,0.02,2.5,500000.0,10,21,61.904761904761905,433.2753143848409,9.749908000033622,-8.73269999999999
0.03,0.06,0.02,2.5,500000.0,20,21,66.66666666666666,438.06080703544586,11.031291851513405,-5.910000000000006
0.03,0.06,0.02,2.5,500000.0,30,20,60.0,406.1966755311182,10.17758915275851,-7.116796848403671
0.03,0.06,0.02,2.5,1000000.0,0,26,53.84615384615385,410.4050962657891,6.733971240504195,-16.702799507100014
0.03,0.06,0.02,2.5,1000000.0,5,23,60.86956521739131,433.47493843871314,8.78470397661508,-11.470718999999999
0.03,0.06,0.02,2.5,1000000.0,10,21,61.904761904761905,433.2753143848409,9.749908000033622,-8.73269999999999
0.03,0.06,0.02,2.5,1000000.0,20,21,66.66666666666666,438.06080703544586,11.031291851513405,-5.910000000000006
0.03,0.06,0.02,2.5,1000000.0,30,20,60.0,406.1966755311182,10.17758915275851,-7.116796848403671
0.03,0.06,0.02,2.5,5000000.0,0,26,53.84615384615385,410.4050962657891,6.733971240504195,-16.702799507100014
0.03,0.06,0.02,2.5,5000000.0,5,23,60.86956521739131,433.47493843871314,8.78470397661508,-11.470718999999999
0.03,0.06,0.02,2.5,5000000.0,10,21,61.904761904761905,433.2753143848409,9.749908000033622,-8.73269999999999
0.03,0.06,0.02,2.5,5000000.0,20,21,66.66666666666666,438.06080703544586,11.031291851513405,-5.910000000000006
0.03,0.06,0.02,2.5,5000000.0,30,20,60.0,406.1966755311182,10.17758915275851,-7.116796848403671
0.03,0.06,0.02,3.0,500000.0,0,24,50.0,405.7304334481527,7.315052934505617,-16.702799507100025
0.03,0.06,0.02,3.0,500000.0,5,21,57.14285714285714,428.5889851496383,9.562059323663078,-11.470719000000013
0.03,0.06,0.02,3.0,500000.0,10,19,57.89473684210527,428.3911893987142,10.62509193239206,-8.732699999999989
0.03,0.06,0.02,3.0,500000.0,20,19,63.1578947368421,435.7302251647329,12.057800551671459,-5.910000000000012
0.03,0.06,0.02,3.0,500000.0,30,18,55.55555555555556,401.56055650560563,10.561775464707264,-5.910000000000012
0.03,0.06,0.02,3.0,1000000.0,0,24,50.0,405.7304334481527,7.315052934505617,-16.702799507100025
0.03,0.06,0.02,3.0,1000000.0,5,21,57.14285714285714,428.5889851496383,9.562059323663078,-11.470719000000013
0.03,0.06,0.02,3.0,1000000.0,10,19,57.89473684210527,428.3911893987142,10.62509193239206,-8.732699999999989
0.03,0.06,0.02,3.0,1000000.0,20,19,63.1578947368421,435.7302251647329,12.057800551671459,-5.910000000000012
0.03,0.06,0.02,3.0,1000000.0,30,18,55.55555555555556,401.56055650560563,10.561775464707264,-5.910000000000012
0.03,0.06,0.02,3.0,5000000.0,0,24,50.0,405.7304334481527,7.315052934505617,-16.702799507100025
0.03,0.06,0.02,3.0,5000000.0,5,21,57.14285714285714,428.5889851496383,9.562059323663078,-11.470719000000013
0.03,0.06,0.02,3.0,5000000.0,10,19,57.89473684210527,428.3911893987142,10.62509193239206,-8.732699999999989
0.03,0.06,0.02,3.0,5000000.0,20,19,63.1578947368421,435.7302251647329,12.057800551671459,-5.910000000000012
0.03,0.06,0.02,3.0,5000000.0,30,18,55.55555555555556,401.56055650560563,10.561775464707264,-5.910000000000012
0.03,0.1,0.01,2.0,500000.0,0,27,51.85185185185185,471.83363132688,6.432589274237552,-17.979453443668625
0.03,0.1,0.01,2.0,500000.0,5,24,58.333333333333336,497.6799869381324,8.296212253130419,-12.827562380347132
0.03,0.1,0.01,2.0,500000.0,10,22,59.09090909090909,503.3717469115287,9.195842854365834,-10.131507608605283
0.03,0.1,0.01,2.0,500000.0,20,22,63.63636363636363,502.81777633648153,10.28441959199878,-7.352069699593068
0.03,0.1,0.01,2.0,500000.0,30,21,61.904761904761905,472.7337533865439,10.049309581769933,-7.352069699593071
0.03,0.1,0.01,2.0,1000000.0,0,27,51.85185185185185,471.83363132688,6.432589274237552,-17.979453443668625
0.03,0.1,0.01,2.0,1000000.0,5,24,58.333333333333336,497.6799869381324,8.296212253130419,-12.827562380347132
0.03,0.1,0.01,2.0,1000000.0,10,22,59.09090909090909,503.3717469115287,9.195842854365834,-10.131507608605283
0.03,0.1,0.01,2.0,1000000.0,20,22,63.63636363636363,502.81777633648153,10.28441959199878,-7.352069699593068
0.03,0.1,0.01,2.0,1000000.0,30,21,61.904761904761905,472.7337533865439,10.049309581769933,-7.352069699593071
0.03,0.1,0.01,2.0,5000000.0,0,27,51.85185185185185,471.83363132688,6.432589274237552,-17.979453443668625
0.03,0.1,0.01,2.0,5000000.0,5,24,58.333333333333336,497.6799869381324,8.296212253130419,-12.827562380347132
0.03,0.1,0.01,2.0,5000000.0,10,22,59.09090909090909,503.3717469115287,9.195842854365834,-10.131507608605283
0.03,0.1,0.01,2.0,5000000.0,20,22,63.63636363636363,502.81777633648153,10.28441959199878,-7.352069699593068
0.03,0.1,0.01,2.0,5000000.0,30,21,61.904761904761905,472.7337533865439,10.049309581769933,-7.352069699593071
0.03,0.1,0.01,2.5,500000.0,0,26,50.0,380.6265597958415,6.139050375850027,-16.702799507100018
0.03,0.1,0.01,2.5,500000.0,5,23,56.52173913043478,402.35043943522425,7.806233578953575,-11.470718999999992
0.03,0.1,0.01,2.5,500000.0,10,21,57.14285714285714,407.13436760127036,8.592510814844703,-8.732699999999998
0.03,0.1,0.01,2.5,500000.0,20,21,61.904761904761905,406.6687549525437,9.527380370074232,-6.109680571684081
0.03,0.1,0.01,2.5,500000.0,30,20,55.00000000000001,381.3831130050832,8.890823966497312,-9.903292942951536
