initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,sum_return_pct,profit_factor,max_drawdown_pct
0.03,0.08,0.02,3.0,500000.0,10,584,23.63013698630137,1217.055317377988,1.8463142375252382,-230.48882090484904
0.03,0.08,0.02,3.0,500000.0,20,467,25.267665952890795,1292.9021813934608,2.15177386693414,-217.72776285222903
0.03,0.08,0.02,3.0,500000.0,30,420,22.142857142857142,561.8615497988063,1.529359872678718,-223.22671928814452
0.03,0.08,0.02,3.0,1000000.0,0,848,23.93867924528302,1327.2280182872103,1.6467970460426,-272.59978833078367
0.03,0.08,0.02,3.0,1000000.0,10,566,24.02826855123675,1105.8766509233858,1.7991428246817214,-216.41851872314908
0.03,0.08,0.02,3.0,1000000.0,20,452,25.88495575221239,1176.3485946150163,2.0935969639438214,-204.85468968438386
0.03,0.08,0.02,3.0,1000000.0,30,406,22.906403940886698,487.51710853954813,1.480532081520761,-207.35364612029917
0.03,0.08,0.02,3.0,5000000.0,0,716,24.022346368715084,821.4670356500859,1.4762316267756141,-280.4272329906787
0.03,0.08,0.02,3.0,5000000.0,10,479,22.964509394572026,480.27779590593553,1.408387079400632,-249.28672246773243
0.03,0.08,0.02,3.0,5000000.0,20,384,26.822916666666668,710.921916087712,1.7933296591853254,-221.72289342896727
0.03,0.08,0.02,3.0,5000000.0,30,342,23.976608187134502,198.68755676940867,1.2378100352399795,-225.22184986488284
0.03,0.1,0.01,1.5,500000.0,0,972,21.193415637860085,939.1853309428825,1.3919468065321503,-176.39498608096244
0.03,0.1,0.01,1.5,500000.0,10,636,22.641509433962266,645.8149749754655,1.4111578537922054,-125.40228452997417
0.03,0.1,0.01,1.5,500000.0,20,502,24.50199203187251,742.7727608606958,1.6178418832942973,-197.988891404166
0.03,0.1,0.01,1.5,500000.0,30,449,21.603563474387528,103.4577983127651,1.0919392830199937,-258.72970198350197
0.03,0.1,0.01,1.5,1000000.0,0,946,21.56448202959831,908.217405889137,1.3916417896126456,-173.2702982614287
0.03,0.1,0.01,1.5,1000000.0,10,618,22.97734627831715,583.587500478274,1.3842150869714787,-120.04884261173856
0.03,0.1,0.01,1.5,1000000.0,20,487,24.84599589322382,670.1703660396627,1.5773519133422207,-203.23878010955843
0.03,0.1,0.01,1.5,1000000.0,30,435,22.06896551724138,51.97836536496955,1.0479574012138262,-239.85662881565685
0.03,0.1,0.01,1.5,5000000.0,0,797,21.07904642409034,560.0012467405562,1.286666168886984,-213.76142471243622
0.03,0.1,0.01,1.5,5000000.0,10,515,21.941747572815533,483.76248562486126,1.3790300481544522,-140.35111739832
0.03,0.1,0.01,1.5,5000000.0,20,410,24.878048780487806,593.6023859234991,1.6098097496885715,-182.8295016750683
0.03,0.1,0.01,1.5,5000000.0,30,363,22.31404958677686,160.75322193170337,1.1788829749645047,-216.3504689361767
0.03,0.1,0.01,2.0,500000.0,0,924,20.77922077922078,1093.3893442588765,1.4663374489194243,-203.0798299568903
0.03,0.1,0.01,2.0,500000.0,10,615,21.951219512195124,481.852515267549,1.3120965632153219,-237.48852118128167
0.03,0.1,0.01,2.0,500000.0,20,485,23.298969072164947,599.5593469072215,1.4986749707471767,-285.195996408165
0.03,0.1,0.01,2.0,500000.0,30,438,21.232876712328768,11.479616689928548,1.010189975164436,-320.7876847741131
0.03,0.1,0.01,2.0,1000000.0,0,898,21.158129175946545,1076.5724352878049,1.4755219870875134,-209.7456056920587
0.03,0.1,0.01,2.0,1000000.0,10,597,22.110552763819097,430.166823854885,1.2881833954863045,-235.35373450773432
0.03,0.1,0.01,2.0,1000000.0,20,470,23.617021276595747,541.4987351707164,1.4674367384959168,-287.25843874847226
0.03,0.1,0.01,2.0,1000000.0,30,424,21.69811320754717,-28.645479538424375,0.9735424972453085,-301.91461160626784
0.03,0.1,0.01,2.0,5000000.0,0,753,20.717131474103585,923.1844245551296,1.486123112013863,-210.11506229584847
0.03,0.1,0.01,2.0,5000000.0,10,497,21.12676056338028,308.92643222385624,1.246716787607447,-240.0771258500668
0.03,0.1,0.01,2.0,5000000.0,20,396,23.98989898989899,494.4227938429904,1.5108690104053957,-240.42727139040068
0.03,0.1,0.01,2.0,5000000.0,30,353,21.813031161473088,45.069221667737445,1.0503251927845991,-257.0834442481961
0.03,0.1,0.01,2.5,500000.0,0,867,20.9919261822376,1342.3860052994796,1.6121661230268902,-255.96204163366997
0.03,0.1,0.01,2.5,500000.0,10,582,22.68041237113402,957.7233553064525,1.6578914739861437,-263.23410638615655
0.03,0.1,0.01,2.5,500000.0,20,466,23.17596566523605,977.7648999716051,1.8419040619325557,-279.8721339450027
0.03,0.1,0.01,2.5,500000.0,30,420,21.666666666666668,549.092292540215,1.5093426818601203,-305.30199625755597
0.03,0.1,0.01,2.5,1000000.0,0,841,21.40309155766944,1330.3525307244797,1.6298435898330126,-238.94264922120078
0.03,0.1,0.01,2.5,1000000.0,10,564,22.872340425531913,915.2759754010193,1.6516693634307367,-261.09931971260914
0.03,0.1,0.01,2.5,1000000.0,20,451,23.503325942350333,928.9425997423305,1.8312601750098183,-281.93457628530996
0.03,0.1,0.01,2.5,1000000.0,30,406,22.167487684729064,518.2055078190926,1.501079149415569,-286.4289230897107
0.03,0.1,0.01,2.5,5000000.0,0,703,21.19487908961593,1099.1354963320855,1.6261826859746522,-254.93768046278524
0.03,0.1,0.01,2.5,5000000.0,10,472,21.398305084745765,541.1306236009596,1.4564866232616773,-274.7390187260647
