initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,net_profit_pct,profit_factor,max_drawdown_pct
0.03,0.1,0.02,3.0,1000000.0,5,352,21.59090909090909,1300.2576814182485,1.6903266632769125,-88.51514172984305
0.03,0.1,0.02,3.0,1000000.0,10,271,25.092250922509223,4098.522433987852,2.0068274352015854,-69.25476338792369
0.03,0.1,0.02,3.0,1000000.0,20,215,22.790697674418606,827.2325050154045,1.8065936975253638,-63.41019866853157
0.03,0.1,0.02,3.0,1000000.0,30,165,28.484848484848484,3697.287639572312,2.525468900527111,-46.318386744227546
0.03,0.1,0.02,3.0,5000000.0,0,446,22.19730941704036,7488.974226184777,1.8086226777564436,-86.75840822883254
0.03,0.1,0.02,3.0,5000000.0,5,352,21.59090909090909,1300.2576814182485,1.6903266632769125,-88.51514172984305
0.03,0.1,0.02,3.0,5000000.0,10,271,25.092250922509223,4098.522433987852,2.0068274352015854,-69.25476338792369
0.03,0.1,0.02,3.0,5000000.0,20,215,22.790697674418606,827.2325050154045,1.8065936975253638,-63.41019866853157
0.03,0.1,0.02,3.0,5000000.0,30,165,28.484848484848484,3697.287639572312,2.525468900527111,-46.318386744227546
0.05,0.06,0.01,2.0,500000.0,0,449,38.97550111358575,19649.42872499706,1.7022710048636915,-90.66419169558779
0.05,0.06,0.01,2.0,500000.0,5,363,38.56749311294766,6731.445607037302,1.7053568732811335,-89.01816449241055
0.05,0.06,0.01,2.0,500000.0,10,314,40.445859872611464,6238.450532031813,1.7874019482038934,-75.3421224706887
0.05,0.06,0.01,2.0,500000.0,20,241,39.004149377593365,258.2580455846609,1.383596254538194,-83.04269584287535
0.05,0.06,0.01,2.0,500000.0,30,187,36.36363636363637,912.8908259732805,1.6618928275951892,-53.45867052818287
0.05,0.06,0.01,2.0,1000000.0,0,449,38.97550111358575,19649.42872499706,1.7022710048636915,-90.66419169558779
0.05,0.06,0.01,2.0,1000000.0,5,363,38.56749311294766,6731.445607037302,1.7053568732811335,-89.01816449241055
0.05,0.06,0.01,2.0,1000000.0,10,314,40.445859872611464,6238.450532031813,1.7874019482038934,-75.3421224706887
0.05,0.06,0.01,2.0,1000000.0,20,241,39.004149377593365,258.2580455846609,1.383596254538194,-83.04269584287535
0.05,0.06,0.01,2.0,1000000.0,30,187,36.36363636363637,912.8908259732805,1.6618928275951892,-53.45867052818287
0.05,0.06,0.01,2.0,5000000.0,0,449,38.97550111358575,19649.42872499706,1.7022710048636915,-90.66419169558779
0.05,0.06,0.01,2.0,5000000.0,5,363,38.56749311294766,6731.445607037302,1.7053568732811335,-89.01816449241055
0.05,0.06,0.01,2.0,5000000.0,10,314,40.445859872611464,6238.450532031813,1.7874019482038934,-75.3421224706887
0.05,0.06,0.01,2.0,5000000.0,20,241,39.004149377593365,258.2580455846609,1.383596254538194,-83.04269584287535
0.05,0.06,0.01,2.0,5000000.0,30,187,36.36363636363637,912.8908259732805,1.6618928275951892,-53.45867052818287
0.05,0.06,0.01,2.5,500000.0,0,393,38.42239185750636,4903.079225153645,1.6458459398998893,-93.62575445287956
0.05,0.06,0.01,2.5,500000.0,5,318,38.05031446540881,5825.556797011053,1.7669215341468811,-85.07456748086678
0.05,0.06,0.01,2.5,500000.0,10,275,39.63636363636363,7521.701815026889,1.9045187089678357,-74.23192670249013
0.05,0.06,0.01,2.5,500000.0,20,222,38.73873873873874,719.6272061896728,1.5912090210930088,-79.21029804045774
0.05,0.06,0.01,2.5,500000.0,30,178,38.764044943820224,712.6153079249185,1.6689197163751384,-55.82401166375315
0.05,0.06,0.01,2.5,1000000.0,0,393,38.42239185750636,4903.079225153645,1.6458459398998893,-93.62575445287956
0.05,0.06,0.01,2.5,1000000.0,5,318,38.05031446540881,5825.556797011053,1.7669215341468811,-85.07456748086678
0.05,0.06,0.01,2.5,1000000.0,10,275,39.63636363636363,7521.701815026889,1.9045187089678357,-74.23192670249013
0.05,0.06,0.01,2.5,1000000.0,20,222,38.73873873873874,719.6272061896728,1.5912090210930088,-79.21029804045774
0.05,0.06,0.01,2.5,1000000.0,30,178,38.764044943820224,712.6153079249185,1.6689197163751384,-55.82401166375315
0.05,0.06,0.01,2.5,5000000.0,0,393,38.42239185750636,4903.079225153645,1.6458459398998893,-93.62575445287956
0.05,0.06,0.01,2.5,5000000.0,5,318,38.05031446540881,5825.556797011053,1.7669215341468811,-85.07456748086678
0.05,0.06,0.01,2.5,5000000.0,10,275,39.63636363636363,7521.701815026889,1.9045187089678357,-74.23192670249013
0.05,0.06,0.01,2.5,5000000.0,20,222,38.73873873873874,719.6272061896728,1.5912090210930088,-79.21029804045774
0.05,0.06,0.01,2.5,5000000.0,30,178,38.764044943820224,712.6153079249185,1.6689197163751384,-55.82401166375315
0.05,0.06,0.01,3.0,500000.0,0,354,39.26553672316384,3456.8809616574613,1.7043283963664042,-93.23671068507474
0.05,0.06,0.01,3.0,500000.0,5,295,38.983050847457626,1988.5452303025627,1.727983010750992,-91.64115354591101
0.05,0.06,0.01,3.0,500000.0,10,258,43.798449612403104,6705.091486206326,2.0209327333081615,-71.46985417392939
0.05,0.06,0.01,3.0,500000.0,20,210,39.523809523809526,370.3777699100928,1.5548975656753068,-83.00937971679076
0.05,0.06,0.01,3.0,500000.0,30,171,39.76608187134503,385.3662168275215,1.6808011846305426,-70.29136093270132
0.05,0.06,0.01,3.0,1000000.0,0,354,39.26553672316384,3456.8809616574613,1.7043283963664042,-93.23671068507474
0.05,0.06,0.01,3.0,1000000.0,5,295,38.983050847457626,1988.5452303025627,1.727983010750992,-91.64115354591101
0.05,0.06,0.01,3.0,1000000.0,10,258,43.798449612403104,6705.091486206326,2.0209327333081615,-71.46985417392939
